Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,167.130005,167.580002,165.630005,166.660004,164.521210,6295100
2022-07-01,166.740005,169.520004,165.759995,169.389999,167.216171,3918700
2022-07-05,168.630005,169.389999,165.330002,169.009995,166.841034,4971600
2022-07-06,170.000000,171.949997,169.479996,170.699997,168.509354,4209100
2022-07-07,169.520004,171.039993,169.380005,170.360001,168.173721,5150200
2022-07-08,170.570007,172.699997,170.550003,171.880005,169.674225,3482900
2022-07-11,171.410004,172.800003,170.020004,170.470001,168.282303,4921300
2022-07-12,173.000000,173.320007,168.869995,169.500000,167.324768,5201600
2022-07-13,168.539993,171.440002,167.979996,170.100006,167.917068,4533100
2022-07-14,168.289993,171.160004,167.699997,170.979996,168.785751,4218300
2022-07-15,171.339996,172.919998,170.020004,171.119995,168.923965,4659100
2022-07-18,171.149994,171.240005,167.850006,168.259995,166.100662,3479700
2022-07-19,170.250000,170.750000,168.630005,170.059998,167.877579,4201600
2022-07-20,170.050003,170.570007,167.460007,168.259995,166.100662,3460700
2022-07-21,167.990005,169.410004,167.559998,168.509995,166.347458,3088300
2022-07-22,169.139999,170.570007,168.490005,169.610001,167.433350,3757800
2022-07-25,170.309998,170.860001,169.039993,169.850006,167.670273,3357200
2022-07-26,170.570007,171.990005,169.240005,171.830002,169.624847,3732100
2022-07-27,170.490005,171.949997,169.059998,171.589996,169.387924,4479000
2022-07-28,171.869995,175.119995,171.190002,174.839996,172.596237,3134200
2022-07-29,173.660004,175.479996,173.389999,174.960007,172.714691,4215500
2022-08-01,174.550003,177.690002,174.550003,176.949997,174.679138,4034600
2022-08-02,176.940002,177.149994,175.220001,175.490005,173.237885,3781100
2022-08-03,175.080002,177.059998,174.240005,176.830002,174.560699,4401300
2022-08-04,176.419998,176.740005,174.580002,175.869995,173.613007,3822500
2022-08-05,174.389999,174.699997,172.399994,174.550003,172.309952,3295600
2022-08-08,175.789993,175.970001,173.320007,173.850006,171.618942,2846100
2022-08-09,174.789993,175.229996,173.960007,174.500000,172.260590,3228800
